SecSt	Group	Occurance
Helix 	0	107
Helix 	1	313
Helix 	2	360
Helix 	3	122
Helix 	4	115
Helix 	5	221
Helix 	6	154
Helix 	7	60
Helix 	8	88
Helix 	9	92
Helix 	10	81
Helix 	11	27
Helix 	12	36
Helix 	13	36
Helix 	14	13
Helix 	15	20
Helix 	16	11
Helix 	17	14
Helix 	18	4
Helix 	19	10
Helix 	20	1
Helix 	21	8
Helix 	22	2
Helix 	23	12
Helix 	25	7
Helix 	26	3
Helix 	27	1
Helix 	28	4
Helix 	29	1
Helix 	30	2
Helix 	32	2
Helix 	40	1
BetaSheet 	0	6
BetaSheet 	1	4
BetaSheet 	2	9
BetaSheet 	4	4
BetaSheet 	5	2
BetaSheet 	8	1
BetaSheet 	10	1
BetaSheet 	12	1
